name,modules,memory_per_module,price
G.Skill Trident Z Royal 128 GB,4,32,808.88
G.Skill Trident Z RGB 128 GB,4,32,691.2
Corsair Vengeance RGB Pro 64 GB,2,32,345.6
Crucial Ballistix 64 GB,2,32,324.86
G.Skill Trident Z RGB 64 GB,2,32,302.39
G.Skill Ripjaws V 64 GB,2,32,289.43
Corsair Vengeance LPX 128 GB,8,16,3310.87
G.Skill Trident Z Neo 32 GB,2,16,196.98
G.Skill Trident Z RGB 32 GB,2,16,190.07
Corsair Vengeance RGB Pro 32 GB,2,16,183.38
Crucial Ballistix RGB 32 GB,2,16,182.3
G.Skill Trident Z Royal 32 GB,2,16,181.43
Corsair Vengeance RGB Pro SL 32 GB,2,16,172.79
G.Skill Ripjaws V 32 GB,2,16,172.79
Corsair Vengeance LPX 32 GB,2,16,164.15
Crucial Ballistix 32 GB,2,16,162.42
Team T-FORCE VULCAN Z 32 GB,2,16,138.23
G.Skill Ripjaws V Series 32 GB,2,16,133.91
Team T-Force Delta RGB 32 GB,2,16,132.18
Corsair Dominator Platinum RGB 32 GB,4,8,293.75
Gigabyte AORUS RGB 16 GB,2,8,129.59
Patriot Viper Steel 16 GB,2,8,112.31
G.Skill Trident Z RGB 16 GB,2,8,99.35
Crucial Ballistix RGB 16 GB,2,8,95.03
G.Skill Trident Z Neo 16 GB,2,8,95.03
Corsair Vengeance RGB Pro SL 16 GB,2,8,90.71
Corsair Vengeance RGB Pro 16 GB,2,8,89.85
Kingston HyperX Fury RGB 16 GB,2,8,89.85
G.Skill Ripjaws V 16 GB,2,8,84.66
Kingston HyperX Fury 16 GB,2,8,82.07
ADATA XPG SPECTRIX D60G 16 GB,2,8,80.34
Corsair Vengeance LPX 16 GB,2,8,76.89
Crucial Ballistix 16 GB,2,8,76.02
Corsair Vengeance 16 GB,2,8,75.16
Team T-Force Delta RGB 16 GB,2,8,74.3
G.Skill Ripjaws V Series 16 GB,2,8,71.7
OLOy MD4U083216BJDA 16 GB,2,8,71.7
Team T-FORCE VULCAN Z 16 GB,2,8,69.1
G.Skill Aegis 16 GB,2,8,66.52
Silicon Power XPOWER Turbine 16 GB,2,8,64.77
Silicon Power SP016GXLZU320BDAJ5 16 GB,2,8,63.91
OLOy MD4U083016BGDA 16 GB,2,8,59.88
Kingston HyperX Fury 8 GB,1,8,38.87
G.Skill Aegis 8 GB,1,8,35.42
Team Elite 8 GB,1,8,33.69
Corsair Vengeance LPX 8 GB,2,4,48.38
G.Skill Ripjaws V Series 8 GB,2,4,45.78
Patriot Viper Steel 8 GB,2,4,44.92
G.Skill Ripjaws Series 8 GB,2,4,43.19
Patriot Signature Premium 8 GB,2,4,40.6
G.Skill Aegis 4 GB,1,4,20.72
Patriot Signature 1 GB,1,1,5.89
